date,month,year,collabs,percent
1-Nov-08,11,2008,11,0.22
1-Oct-08,10,2008,10,0.25
1-Sep-08,9,2008,8,0.2
1-Aug-08,8,2008,7,0.14
1-Jul-08,7,2008,9,0.225
1-Jun-08,6,2008,18,0.45
1-May-08,5,2008,25,0.5
1-Apr-08,4,2008,24,0.6
1-Mar-08,3,2008,24,0.48
1-Feb-08,2,2008,10,0.25
1-Jan-08,1,2008,13,0.325
1-Dec-07,12,2007,26,0.52
1-Nov-07,11,2007,23,0.575
1-Oct-07,10,2007,12,0.3
1-Sep-07,9,2007,21,0.42
1-Aug-07,8,2007,18,0.45
1-Jul-07,7,2007,15,0.375
1-Jun-07,6,2007,12,0.24
1-May-07,5,2007,19,0.475
1-Apr-07,4,2007,23,0.575
1-Mar-07,3,2007,18,0.36
1-Feb-07,2,2007,14,0.35
1-Jan-07,1,2007,13,0.325
1-Dec-06,12,2006,21,0.42
1-Nov-06,11,2006,13,0.325
1-Oct-06,10,2006,11,0.275
1-Sep-06,9,2006,15,0.3
1-Aug-06,8,2006,16,0.4
1-Jul-06,7,2006,20,0.4
1-Jun-06,6,2006,18,0.45
1-May-06,5,2006,12,0.3
1-Apr-06,4,2006,13,0.26
1-Mar-06,3,2006,14,0.35
1-Feb-06,2,2006,16,0.4
1-Jan-06,1,2006,11,0.275
1-Dec-05,12,2005,11,0.22
1-Nov-05,11,2005,10,0.25
1-Oct-05,10,2005,17,0.34
1-Sep-05,9,2005,18,0.45
1-Aug-05,8,2005,16,0.4
1-Jul-05,7,2005,12,0.24
1-Jun-05,6,2005,7,0.175
1-May-05,5,2005,12,0.3
1-Apr-05,4,2005,21,0.42
1-Mar-05,3,2005,20,0.5
1-Feb-05,2,2005,21,0.525
1-Jan-05,1,2005,33,0.66
1-Dec-04,12,2004,29,0.725
1-Nov-04,11,2004,22,0.55
1-Oct-04,10,2004,27,0.54
1-Sep-04,9,2004,23,0.575
1-Aug-04,8,2004,21,0.525
1-Jul-04,7,2004,15,0.3
1-Jun-04,6,2004,8,0.2
1-May-04,5,2004,14,0.28
1-Apr-04,4,2004,14,0.35
1-Mar-04,3,2004,20,0.5
1-Feb-04,2,2004,18,0.45
1-Jan-04,1,2004,20,0.4
1-Dec-03,12,2003,19,0.475
1-Nov-03,11,2003,36,0.72
1-Oct-03,10,2003,27,0.675
1-Sep-03,9,2003,24,0.6
1-Aug-03,8,2003,19,0.38
1-Jul-03,7,2003,15,0.375
1-Jun-03,6,2003,22,0.55
1-May-03,5,2003,24,0.48
1-Apr-03,4,2003,14,0.35
1-Mar-03,3,2003,20,0.4
1-Feb-03,2,2003,18,0.45
1-Jan-03,1,2003,24,0.6
1-Dec-02,12,2002,25,0.625
1-Nov-02,11,2002,24,0.48
1-Oct-02,10,2002,18,0.45
1-Sep-02,9,2002,12,0.3
1-Aug-02,8,2002,24,0.48
1-Jul-02,7,2002,18,0.45
1-Jun-02,6,2002,18,0.36
1-May-02,5,2002,12,0.3
1-Apr-02,4,2002,14,0.35
1-Mar-02,3,2002,16,0.32
1-Feb-02,2,2002,11,0.275
1-Jan-02,1,2002,4,0.1
1-Dec-01,12,2001,10,0.2
1-Nov-01,11,2001,9,0.225
1-Oct-01,10,2001,11,0.275
1-Sep-01,9,2001,14,0.28
1-Aug-01,8,2001,10,0.25
1-Jul-01,7,2001,10,0.25
1-Jun-01,6,2001,16,0.32
1-May-01,5,2001,12,0.3
1-Apr-01,4,2001,10,0.25
1-Mar-01,3,2001,18,0.36
1-Feb-01,2,2001,11,0.275
1-Jan-01,1,2001,4,0.1
1-Dec-00,12,2000,5,0.1
1-Nov-00,11,2000,0,0
1-Oct-00,10,2000,0,0
1-Sep-00,9,2000,0,0
1-Aug-00,8,2000,0,0
1-Jul-00,7,2000,0,0
1-Jun-00,6,2000,3,0.075
1-May-00,5,2000,4,0.1
1-Apr-00,4,2000,6,0.12
1-Mar-00,3,2000,8,0.2
1-Feb-00,2,2000,12,0.3
1-Jan-00,1,2000,10,0.2
1-Dec-99,12,1999,6,0.15
1-Nov-99,11,1999,13,0.325
1-Oct-99,10,1999,13,0.26
1-Sep-99,9,1999,4,0.1
1-Aug-99,8,1999,3,0.075
1-Jul-99,7,1999,4,0.08
1-Jun-99,6,1999,2,0.05
1-May-99,5,1999,12,0.24
1-Apr-99,4,1999,10,0.25
1-Mar-99,3,1999,5,0.125
1-Feb-99,2,1999,3,0.075
1-Jan-99,1,1999,3,0.06
1-Dec-98,12,1998,1,0.025
1-Nov-98,11,1998,4,0.1
1-Oct-98,10,1998,5,0.1
1-Sep-98,9,1998,5,0.125
1-Aug-98,8,1998,8,0.16
1-Jul-98,7,1998,7,0.175
1-Jun-98,6,1998,5,0.125
1-May-98,5,1998,6,0.12
1-Apr-98,4,1998,7,0.175
1-Mar-98,3,1998,5,0.125
1-Feb-98,2,1998,5,0.125
1-Jan-98,1,1998,5,0.1
1-Dec-97,12,1997,8,0.2
1-Nov-97,11,1997,10,0.2
1-Oct-97,10,1997,7,0.175
1-Sep-97,9,1997,9,0.225
1-Aug-97,8,1997,12,0.24
1-Jul-97,7,1997,2,0.05
1-Jun-97,6,1997,7,0.175
1-May-97,5,1997,8,0.16
1-Apr-97,4,1997,8,0.2
1-Mar-97,3,1997,8,0.16
1-Feb-97,2,1997,10,0.25
1-Jan-97,1,1997,8,0.2
1-Dec-96,12,1996,12,0.3
1-Nov-96,11,1996,13,0.26
1-Oct-96,10,1996,4,0.1
1-Sep-96,9,1996,0,0
1-Aug-96,8,1996,4,0.08
1-Jul-96,7,1996,5,0.125
1-Jun-96,6,1996,7,0.14
1-May-96,5,1996,7,0.175
1-Apr-96,4,1996,7,0.175
1-Mar-96,3,1996,9,0.18
1-Feb-96,2,1996,4,0.1
1-Jan-96,1,1996,7,0.175
1-Dec-95,12,1995,10,0.2
1-Nov-95,11,1995,4,0.1
1-Oct-95,10,1995,4,0.1
1-Sep-95,9,1995,5,0.1
1-Aug-95,8,1995,2,0.05
1-Jul-95,7,1995,6,0.12
1-Jun-95,6,1995,6,0.15
1-May-95,5,1995,2,0.05
1-Apr-95,4,1995,0,0
1-Mar-95,3,1995,0,0
1-Feb-95,2,1995,0,0
1-Jan-95,1,1995,0,0
1-Dec-94,12,1994,0,0
1-Nov-94,11,1994,0,0
1-Oct-94,10,1994,4,0.08
1-Sep-94,9,1994,4,0.1
1-Aug-94,8,1994,4,0.1
1-Jul-94,7,1994,1,0.02
1-Jun-94,6,1994,0,0
1-May-94,5,1994,0,0
1-Apr-94,4,1994,4,0.08
1-Mar-94,3,1994,6,0.15
1-Feb-94,2,1994,7,0.175
1-Jan-94,1,1994,5,0.1
1-Dec-93,12,1993,3,0.075
1-Nov-93,11,1993,0,0
1-Oct-93,10,1993,0,0
1-Sep-93,9,1993,0,0
1-Aug-93,8,1993,0,0
1-Jul-93,7,1993,0,0
1-Jun-93,6,1993,1,0.025
1-May-93,5,1993,5,0.1
1-Apr-93,4,1993,3,0.075
1-Mar-93,3,1993,0,0
1-Feb-93,2,1993,4,0.1
1-Jan-93,1,1993,1,0.02
1-Dec-92,12,1992,0,0
1-Nov-92,11,1992,0,0
1-Oct-92,10,1992,0,0
1-Sep-92,9,1992,2,0.05
1-Aug-92,8,1992,1,0.02
1-Jul-92,7,1992,0,0
1-Jun-92,6,1992,3,0.075
1-May-92,5,1992,0,0
1-Apr-92,4,1992,2,0.05
1-Mar-92,3,1992,2,0.05
1-Feb-92,2,1992,10,0.2
1-Jan-92,1,1992,5,0.125
1-Dec-91,12,1991,1,0.025
1-Nov-91,11,1991,8,0.16
1-Oct-91,10,1991,1,0.025
1-Sep-91,9,1991,0,0
1-Aug-91,8,1991,0,0
1-Jul-91,7,1991,0,0
1-Jun-91,6,1991,0,0
1-May-91,5,1991,4,0.1
1-Apr-91,4,1991,2,0.05
1-Mar-91,3,1991,0,0
1-Feb-91,2,1991,0,0
1-Jan-91,1,1991,2,0.05
1-Dec-90,12,1990,4,0.08
1-Nov-90,11,1990,0,0
1-Oct-90,10,1990,0,0
1-Sep-90,9,1990,0,0
1-Aug-90,8,1990,2,0.05
1-Jul-90,7,1990,4,0.1
1-Jun-90,6,1990,1,0.02
1-May-90,5,1990,1,0.025
1-Apr-90,4,1990,0,0
1-Mar-90,3,1990,3,0.06
1-Feb-90,2,1990,4,0.1
1-Jan-90,1,1990,3,0.075
